message
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:30 GPN-0064_LER-HOS_AR12-01 %%01SECE/4/SPECIFY_SIP_ATTACK(l)[7018]:The specified source IP address initiates an attack.(Slot=MPU, SourceAttackIP = 10.140.1.85, AttackPackets=192 packets per second)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:30 GPN-0213_BLA-LIK-ME_AR12-01 SSMPADP/4/AUTHENTICAL_FAIL:OID 1.3.6.1.6.3.1.1.5.5 SNMP authentication fails.""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197823]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(43384)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:32 GPN-0446_GST-02F-GIF_AR12-01 %%01LLDP/4/BAD_PACKET(l)[31143]:2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197825]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(16321)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197827]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(32851)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197829]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(40958)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197830]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(14872)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197832]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(63033)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197833]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(58902)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197836]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(54875)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197837]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(19467)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197838]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(41165)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197839]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(49843)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197842]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(37455)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197843]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(39768)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197845]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(37100)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197848]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(53471)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197850]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(47018)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197851]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(38530)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197852]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(38530)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:34 GPN-0295_TEM-TRA-LIC_AR12-01 %%01FTPS/5/REQUEST(l)[9504]:The user had a request. (UserName=\""\"", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=\""VPN: \"", Request=QUIT)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:33 GPN-0231_BOI-EDU_AR12-01 LINE/4/USERLOGINFAIL:OID 1.3.6.1.4.1.2011.5.25.207.2.3 A user login fail. (UserIndex=0, UserName=Console, UserIP=Console0, UserChannel=CON0) ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197855]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(60771)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:34 GPN-0004_CHB-CR_M14-01 %%01SNMP/4/SNMP_IPUNLOCK(s):CID=0x80d50422;The source IP was unlocked.(SourceIP=192.168.0.40, VPN=SKYWIRE.VPN)""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:33 GPN-0231_BOI-EDU_AR12-01 %%01SHELL/5/CMDRECORD(l)[84184]:Record command information. (Task=Co0, Ip=**, User=**, Command=\""log on fail\"", Result=Success) ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197858]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(51626)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197859]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(46201)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197860]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(53023)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197861]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(51626)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197864]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(54465)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197866]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(37624)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197867]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(47851)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197871]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(46243)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197874]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(45627)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197878]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(36021)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197879]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(36021)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197880]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(35696)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197881]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(47401)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:36 GPN-0006_WRD-DS_S97-01 BASETRAP/4/OPTPWRRESUME:OID 1.3.6.1.4.1.2011.5.25.129.2.17.2 Optical module recovered from power abnormal.(Index=67765518, Severity=6, ProbableCause=67697 , EventType=5, ContainedIn=67633161, PhysicalName=\""GigabitEthernet2/1/20\"", RelativeResource=\""\"",ReasonDescr=\""Resumed from overlow receiving power of fabric module, detail information is as follows: Now power is -27.9599991; Set lower threshold is -27.9599991; Default lower threshold is -27.9599991;\"")""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197885]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(49751)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197888]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(60329)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197892]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(41781)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197895]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(60329)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197896]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(41707)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197898]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(37794)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:36 GBN-0454_LAE-LOU-GEL_AR22-01 %%01SNMP/5/SNMP_LOG_IP_UNLOCK(l)[8561]:The IP address of request message was unlocked because timeout. (SourceIPType=1, SourceIP=172.31.252.204)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:36 GBN-0454_LAE-LOU-GEL_AR22-01 %%01INFO/4/SUPPRESS_LOG(l)[8562]:Last message repeated 1 times.(InfoID=3229683715, ModuleName=SNMP, InfoAlias=SNMP_LOG_IP_UNLOCK) ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197901]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(47345)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:36 GBN-0454_LAE-LOU-GEL_AR22-01 %%01SNMP/5/SNMP_IP_LOCK(l)[8563]:The IP address of request message was locked because authentication failed. (SourceIPType=1, SourceIP=172.31.252.204)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197902]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(11169)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:36 GPN-0159_LEN-CLI_AR12-01 LINE/4/USERLOGINFAIL:OID 1.3.6.1.4.1.2011.5.25.207.2.3 A user login fail. (UserIndex=0, UserName=Console, UserIP=Console0, UserChannel=CON0) ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:36 GPN-0159_LEN-CLI_AR12-01 %%01SHELL/5/CMDRECORD(l)[42578]:Record command information. (Task=Co0, Ip=**, User=**, Command=\""log on fail\"", Result=Success) ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:36 GBN-0454_LAE-LOU-GEL_AR22-01 SSMPADP/4/AUTHENTICAL_FAIL:OID 1.3.6.1.6.3.1.1.5.5 SNMP authentication fails.""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197904]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(34609)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:37 GPN-0320_KT-MAT-CLI_AR12-01 %%01FTPS/5/REQUEST(l)[5430]:The user had a request. (UserName=\""\"", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=\""VPN: \"", Request=QUIT)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:36 GBN-0002_GST-CR_M14-02 %%01SNMP/4/SNMP_IPLOCK(s):CID=0x80d50422;The source IP was locked because of the failure of login through SNMP.(SourceIP=172.31.252.204, VPN=_public_)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197906]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(34609)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197911]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(15681)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:37 GPN-0005_75FOX-CR_X8-01 %%01SNMP/4/SNMP_IPUNLOCKSTAT(s):CID=0x80d50412;In the last 5 minutes, 2 IP addresses were unlocked. (IPList=(IP=10.23.14.24, VPN=15), (IP=192.168.0.40, VPN=15))\r\n""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197913]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(39603)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197915]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(43597)-> 8.8.4.4(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:37 GPN-0484_GEO-MUK-HOS_AR12-01 %%01SNMP/5/SNMP_LOG_IP_UNLOCK(l)[295960]:The IP address of request message was unlocked because timeout. (SourceIPType=1, SourceIP=172.31.252.204)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:37 GPN-0004_CHB-CR_M14-01 %%01SNMP/4/SNMP_IPLOCK(s):CID=0x80d50422;The source IP was locked because of the failure of login through SNMP.(SourceIP=192.168.0.40, VPN=SKYWIRE.VPN)""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:37 GPN-0484_GEO-MUK-HOS_AR12-01 %%01SNMP/5/SNMP_IP_LOCK(l)[295961]:The IP address of request message was locked because authentication failed. (SourceIPType=1, SourceIP=172.31.252.204)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:37 GPN-0484_GEO-MUK-HOS_AR12-01 SSMPADP/4/AUTHENTICAL_FAIL:OID 1.3.6.1.6.3.1.1.5.5 SNMP authentication fails.""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197918]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(64689)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197919]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(8689)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197921]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(41470)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197922]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(40556)-> 8.8.4.4(53) (1) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:37 GPN-0200_BEN-ROA-TRA_AR12-01 LINE/4/USERLOGINFAIL:OID 1.3.6.1.4.1.2011.5.25.207.2.3 A user login fail. (UserIndex=0, UserName=Console, UserIP=Console0, UserChannel=CON0) ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197925]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(32651)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:47:37 GPN-0200_BEN-ROA-TRA_AR12-01 %%01SHELL/5/CMDRECORD(l)[5342]:Record command information. (Task=Co0, Ip=**, User=**, Command=\""log on fail\"", Result=Success) ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197927]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(54019)-> 8.8.8.8(53) (2) packets. ""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:47:19 GPN-1220_PEL-PRI-SCH_AR12-01 %%01QOS/4/SACL_LOG(l)[197931]:Ipv4 acl 3500,rule 120 deny 17 10.197.119.254(49478)-> 8.8.4.4(53) (1) packets. ""}"
